Segment,WC,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male
1,193,15.03,7.25,3.63,0.52,0,0,2.07,7.77,0,0,1.55,0
1,100,21,13,3,1,0,0,6,7,0,0,2,0
1,71,11.27,7.04,4.23,1.41,0,0,1.41,4.23,0,0,0,0
1,186,15.05,8.06,2.15,1.08,0,0.54,1.61,7.53,0,0.54,0,0
1,204,10.78,5.39,2.45,0.49,0,0.49,1.47,4.9,0,0,0,0
1,211,15.64,7.11,1.9,0.47,0,0.95,1.42,7.58,0,0.47,0.95,0
1,60,16.67,11.67,6.67,1.67,0,0,3.33,3.33,0,0,0,0
1,402,14.93,8.96,2.24,0.75,0,0.25,3.23,6.22,0,0,0.5,0
1,280,16.79,9.29,3.93,0.71,0,0,2.86,7.5,0,0,1.07,0
1,31,25.81,16.13,9.68,3.23,0,0,3.23,9.68,0,0,0,0
1,156,16.67,7.69,2.56,0.64,0,0,3.21,7.69,0,0,0,0
1,577,15.42,7.97,1.73,0.17,0,0,2.77,7.45,0,0,1.73,0
1,287,15.33,7.67,2.09,1.05,0.35,0.35,2.44,8.36,0,0,1.39,0
1,26,23.08,19.23,11.54,3.85,0,0,3.85,3.85,0,0,0,0
1,22,27.27,22.73,13.64,4.55,0,0,4.55,4.55,0,0,0,0
1,285,11.23,5.26,1.75,0.7,0.35,0.35,1.05,6.32,0,0,0,0
1,281,14.95,5.34,1.78,0.71,0,0,2.49,9.61,0,0,2.85,0
1,134,10.45,7.46,2.99,0,0,0,1.49,2.99,0,0,0,0
1,324,13.89,6.17,0.93,0.62,0,0,2.47,7.72,0,0,1.85,0.31
1,517,10.83,4.45,0.77,0.19,0,0.58,2.13,6.38,0,0,0.77,0
1,214,22.9,11.21,5.14,0.93,0,0.47,2.34,11.68,0,0,5.61,0
1,398,12.56,6.53,2.01,1.01,0,0,1.26,6.28,0,0,2.01,0
1,49,18.37,12.24,6.12,2.04,0,2.04,2.04,6.12,0,0,0,0
1,392,14.03,5.36,1.02,1.02,0,0,1.53,8.67,0,0,1.53,0
1,333,15.62,8.11,2.1,0.6,0,0.6,1.8,7.51,0,0,0.6,0
1,289,16.26,11.42,3.11,0.69,0.35,0.35,5.19,4.5,0,0,0.69,0
1,232,11.64,7.33,1.72,0.43,0,0.43,3.02,4.31,0,0,0.43,0
1,533,14.82,6.57,1.13,0.56,0.19,0.19,3,8.63,0,0,1.88,0
1,14,7.14,0,0,0,0,0,0,7.14,0,0,0,0
1,467,14.13,8.14,1.93,0.43,0,0,3.43,6.21,0,0,1.07,0.21
1,40,22.5,20,7.5,5,0,0,7.5,5,0,0,0,0
1,299,9.7,6.02,2.01,0.33,0,0,2.34,3.68,0,0,0.67,0
1,14,7.14,0,0,0,0,0,0,7.14,0,0,0,0
1,557,12.21,6.1,1.62,0.18,0,0.36,1.97,5.75,0,0,1.08,0
1,201,14.43,9.45,2.49,1,0,0,4.48,5.97,0,0,2.49,0
1,412,12.38,7.04,1.21,0.73,0,0,2.91,5.58,0,0,1.46,0
1,879,15.24,5.69,0.91,0.34,0,0.57,2.5,9.78,0,0,3.41,0
1,524,16.79,8.4,2.1,0.57,0,0.57,2.1,8.59,0,0,1.91,0
1,154,14.94,7.14,3.25,1.95,0,0,0.65,8.44,0,0,0,0
1,572,10.14,7.34,2.27,0.35,0.17,0,2.62,2.62,0,0,0.17,0
1,156,21.79,14.74,4.49,2.56,0,0.64,2.56,8.33,0,0,1.28,0
1,703,14.51,7.54,1.99,0.14,0.28,0.28,3.13,6.97,0,0.14,2.42,0.14
1,120,14.17,7.5,3.33,0.83,0,0,1.67,5,0,0.83,0,0
1,122,13.93,7.38,3.28,0.82,0,0,1.64,4.92,0,0.82,0,0
1,128,14.84,7.81,2.34,0.78,0,0,2.34,7.03,0,0,1.56,0
1,693,14.86,6.06,0.72,0.29,0,0.43,3.17,8.95,0,0.29,3.61,0
1,425,12.24,5.65,2.12,0.71,0,0,1.18,6.82,0,0,1.65,0
1,436,11.93,5.5,2.06,0.69,0,0,1.15,6.65,0,0,1.61,0
1,108,20.37,12.96,4.63,0.93,0,0,4.63,7.41,0,0,1.85,0
1,152,17.11,8.55,4.61,1.32,0,0,0.66,9.21,0,0,4.61,0
1,73,21.92,12.33,4.11,1.37,0,0,5.48,9.59,0,0,2.74,0
1,450,9.78,6.22,2,0.22,0.22,0.67,2.67,3.56,0,0,0,0
1,532,13.53,6.95,1.69,0.38,0.19,0,2.82,6.39,0,0,1.69,0
1,101,11.88,8.91,2.97,0.99,0,0,2.97,2.97,0,0,0.99,0
1,184,20.65,14.13,2.72,0.54,0,0,5.43,6.52,0,0,2.17,0
1,79,21.52,11.39,5.06,2.53,0,0,2.53,11.39,0,0,1.27,0
