Row ID,Column,Observation,Context Left,Match,Context Right
1,Comment for Q7,1,b great classsome fun,discussions,in class but random at times :) the instruction in this course was good this professor used role plays which helped reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as
1,Comment for Q7,2,b great classsome fun discussions in class but random at times :) the,instruction,in this course was good this professor used role plays which helped reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as helpful in the real world there is no source
1,Comment for Q7,3,b great classsome fun discussions in class but random at times :) the instruction in this course was good this,professor,used role plays which helped reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as helpful in the real world there is no source as to where the course materials came
1,Comment for Q7,4,b great classsome fun discussions in class but random at times :) the instruction in this course was good this professor used,role,plays which helped reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as helpful in the real world there is no source as to where the course materials came from course
1,Comment for Q7,5,b great classsome fun discussions in class but random at times :) the instruction in this course was good this professor used role plays which,helped,reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as helpful in the real world there is no source as to where the course materials came from course materials are very
1,Comment for Q7,6,b great classsome fun discussions in class but random at times :) the instruction in this course was good this professor used role plays which helped reinforced concepts,learned,in class however my concern is that theserole plays were too theoretical and were not as helpful in the real world there is no source as to where the course materials came from course materials are very unorganized and not
1,Comment for Q7,7,in class but random at times :) the instruction in this course was good this professor used role plays which helped reinforced concepts learned in class however my concern is that theserole plays were too theoretical and were not as,helpful,in the real world there is no source as to where the course materials came from course materials are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn
1,Comment for Q7,8,real world there is no source as to where the course materials came from course materials are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat,leadership,is about professor has minimal experience to share and relate to topics discussed in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor
1,Comment for Q7,9,is no source as to where the course materials came from course materials are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat leadership is about,professor,has minimal experience to share and relate to topics discussed in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic
1,Comment for Q7,10,where the course materials came from course materials are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat leadership is about professor has minimal experience to,share,and relate to topics discussed in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does
1,Comment for Q7,11,from course materials are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat leadership is about professor has minimal experience to share and relate to topics,discussed,in class professor does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions
1,Comment for Q7,12,are very unorganized and not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat leadership is about professor has minimal experience to share and relate to topics discussed in class,professor,does not take students opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment
1,Comment for Q7,13,not verywell structured seems like bits and pieces of random materials are just being taught course content doesn 't reflectwhat leadership is about professor has minimal experience to share and relate to topics discussed in class professor does not take,students,opinions under consideration and always possess the attitude of i am always rightbecause i have my phd attitude of professor created a toxic classroom environment when she does not respectstudents ideas and opinions 8 please comment on any assistance that
