Social,tone_pos,prosocial,Clout,Cognition,cogproc,allnone,emo_pos,emo_neg,Analytic,Drives,achieve,Segment,Linguistic
15.03,6.22,3.63,40.06,16.06,13.99,2.07,1.55,0,54.63,4.15,1.55,1,59.59
21,2,3,74.29,16,14,2,0,0,71.67,6,1,1,65
11.27,7.04,4.23,48.42,5.63,5.63,0,0,0,97.09,1.41,1.41,1,63.38
15.05,3.23,2.15,43.22,15.59,15.05,0.54,1.08,0,51.31,6.99,2.69,1,66.67
10.78,2.45,2.45,31.82,15.2,14.71,0.49,0.49,0,61.39,2.45,0,1,67.16
15.64,5.69,1.9,54.21,14.22,14.22,0,1.42,0.95,55.63,4.74,1.9,1,66.82
16.67,5,6.67,49.98,15,15,0,0,0,80.96,1.67,1.67,1,48.33
14.93,4.98,2.24,56.38,17.66,16.42,1.24,0.75,1.49,74.29,4.98,1.24,1,63.43
16.79,8.21,3.93,52.85,18.57,16.79,1.79,1.43,0,52.56,4.29,1.79,1,63.57
25.81,9.68,9.68,59.25,16.13,16.13,0,0,0,32.41,3.23,3.23,1,58.06
16.67,6.41,2.56,55.35,19.23,19.23,0,0.64,0,43.88,12.18,2.56,1,66.03
15.42,3.64,1.73,55.56,17.85,16.46,1.39,0.52,0,42.47,5.37,1.04,1,63.95
15.33,5.57,2.09,52.53,14.63,14.63,0,0.7,0,74.16,4.88,1.74,1,65.16
23.08,3.85,11.54,40.06,15.38,15.38,0,0,0,64.84,0,0,1,61.54
27.27,9.09,13.64,86.82,9.09,9.09,0,4.55,0,94.5,4.55,4.55,1,54.55
11.23,2.46,1.75,26.72,16.84,16.14,0.7,0,0.7,76.53,3.86,2.81,1,66.32
14.95,3.2,1.78,33.99,15.66,15.3,0.36,1.78,0.36,29.96,2.85,1.07,1,68.68
10.45,5.97,2.99,20.79,14.18,13.43,0.75,0,0,67.84,2.99,1.49,1,72.39
13.89,2.47,0.93,41.88,17.9,17.28,0.62,0,0.62,79.14,2.78,1.23,1,64.2
11.03,1.16,0.77,35.63,17.21,17.02,0.19,0,0.58,78.85,2.9,1.35,1,65.18
22.9,10.28,5.14,90.25,14.02,14.02,0,0.93,0,65.75,7.94,3.27,1,68.22
12.56,3.27,2.01,13.09,18.34,15.58,2.76,0.25,0.5,52.22,3.77,1.76,1,61.56
18.37,2.04,6.12,64.19,8.16,8.16,0,0,0,82.8,0,0,1,63.27
14.03,2.3,1.02,71.08,15.05,13.27,1.79,0,0.51,65.01,6.63,2.3,1,64.8
15.62,5.11,2.1,52.6,15.02,14.41,0.6,0.6,0.6,67.67,5.11,1.2,1,61.56
16.26,3.81,3.11,26.89,13.49,11.42,2.08,1.04,0,69.89,2.08,0.35,1,69.9
11.64,2.16,1.72,28.23,14.22,12.07,2.16,0,0,79.69,2.59,0.86,1,67.67
14.82,4.32,1.13,57.95,17.26,15.95,1.31,1.31,0.56,61.36,5.82,2.44,1,66.6
7.14,0,0,79.51,0,0,0,0,0,76.24,14.29,7.14,1,7.14
14.35,3.64,1.93,50.26,20.34,19.27,1.07,0.86,0.43,61.72,4.28,0.64,1,64.45
22.5,5,7.5,69.2,15,15,0,0,0,75.4,0,0,1,57.5
9.7,2.68,2.01,12.34,18.06,16.72,1.34,0.33,0,80.92,3.68,1.67,1,62.88
7.14,0,0,79.51,0,0,0,0,0,76.24,14.29,7.14,1,7.14
12.21,4.49,1.62,30.08,17.24,15.98,1.26,0.9,0.18,77.39,4.49,1.8,1,63.55
14.43,3.48,2.49,48.93,13.93,12.94,1,1.49,0.5,48.92,3.48,1,1,72.64
12.38,3.16,1.21,28.08,16.02,14.81,1.21,0.24,0.73,67.87,4.61,2.43,1,63.35
15.24,3.3,0.91,74.44,16.5,14.79,1.71,0.57,1.02,54.32,4.78,2.05,1,67.69
16.79,4.01,2.1,50.29,17.37,16.6,0.76,0.95,0.57,60.72,4.2,0.95,1,63.74
14.94,5.19,3.25,76.62,17.53,15.58,1.95,0,0,62.56,3.25,0.65,1,64.94
9.97,4.02,2.27,16.79,18.71,17.83,0.52,0.17,0.17,81.53,4.55,1.75,1,64.34
21.79,5.13,4.49,84.23,14.74,14.1,0.64,0,0,85.57,6.41,0.64,1,62.18
14.65,3.13,1.99,32.85,16.36,14.22,1.99,0.71,1.42,63.26,3.13,1,1,66.86
14.17,9.17,3.33,54.96,11.67,10,1.67,1.67,0,75.4,3.33,1.67,1,60
